id,region,cadena_productiva,tipo_empresa,tendencia
104,RM,Bienes creativos,Profesional independiente,Computación o programación creativa
105,RM,Experiencias creativas,Empresa,Computación o programación creativa
105,RM,Experiencias creativas,Empresa,Contenido para redes sociales
105,RM,Experiencias creativas,Empresa,Robótica
106,RM,Bienes creativos,Empresa,Cultura y entretenimiento
106,RM,Bienes creativos,Empresa,Data science
107,RM,Servicios creativos,Empresa,Ninguna de las anteriores
109,RM,Servicios creativos,Empresa,Servicios creativos
110,RM,Experiencias creativas,Empresa,Computación o programación creativa
110,RM,Experiencias creativas,Empresa,Cultura y entretenimiento
110,RM,Experiencias creativas,Empresa,Nuevos medios
112,RM,Servicios creativos,Empresa,Ninguna de las anteriores
119,RM,Servicios creativos,Empresa,Contenido para redes sociales
119,RM,Servicios creativos,Empresa,Editorial
122,RM,Contenidos creativos,Empresa,Ninguna de las anteriores
124,RM,Experiencias creativas,Profesional independiente,Computación o programación creativa
124,RM,Experiencias creativas,Profesional independiente,Cultura y entretenimiento
125,RM,Servicios creativos,Empresa,Contenido para redes sociales
125,RM,Servicios creativos,Empresa,Cultura y entretenimiento
125,RM,Servicios creativos,Empresa,Servicios creativos
127,RM,Experiencias creativas,Empresa,Cultura y entretenimiento
127,RM,Experiencias creativas,Empresa,Nuevos medios
128,RM,Contenidos creativos,Empresa,Cultura y entretenimiento
128,RM,Contenidos creativos,Empresa,Editorial
128,RM,Contenidos creativos,Empresa,Servicios creativos
130,RM,Contenidos creativos,Profesional independiente,Cultura y entretenimiento
130,RM,Contenidos creativos,Profesional independiente,Editorial
130,RM,Contenidos creativos,Profesional independiente,Nuevos medios
132,RM,Bienes creativos,Empresa,Computación o programación creativa
132,RM,Bienes creativos,Empresa,Cultura y entretenimiento
132,RM,Bienes creativos,Empresa,Juegos interactivos
132,RM,Bienes creativos,Empresa,Nuevos medios
133,RM,Servicios creativos,Empresa,Computación o programación creativa
133,RM,Servicios creativos,Empresa,Nuevos medios
133,RM,Servicios creativos,Empresa,Servicios creativos
136,RM,Contenidos creativos,Empresa,Contenido para redes sociales
136,RM,Contenidos creativos,Empresa,Cultura y entretenimiento
136,RM,Contenidos creativos,Empresa,Editorial
136,RM,Contenidos creativos,Empresa,Nuevos medios
139,RM,Contenidos creativos,Profesional independiente,Data science
139,RM,Contenidos creativos,Profesional independiente,Nuevos medios
139,RM,Contenidos creativos,Profesional independiente,Wearables
67,O'Higgins,Bienes creativos,Empresa,Computación o programación creativa
67,O'Higgins,Bienes creativos,Empresa,Juegos interactivos
67,O'Higgins,Bienes creativos,Empresa,Nuevos medios
