region,tipo_empresa,cadena_productiva,agrupacion_tecnocreativa,genero,asociatividad,vinculos_educativos,tamano_empresa_num_trab,rango_ventas,exportaciones,exportaciones_porc_ingreso,internacionalizacion,mercados_intern
RM,Profesional independiente,Bienes creativos,Robótica,Mujer,,,,,,,,
RM,Empresa,Experiencias creativas,Robótica,Hombre,No,No,6-10,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
RM,Empresa,Bienes creativos,Robótica,Hombre,No,Sí,1-5,Menos de 10.000 USD,Sí,75,"No, pero está en las prioridades actuales",
RM,Empresa,Servicios creativos,Servicios creativos,Hombre,No,No,1-5,Más de 100.000 USD,No,0,No y no está en los planes actuales,
RM,Empresa,Servicios creativos,Servicios creativos,Hombre,No,Sí,6-10,Entre 50.000 y 100.000 USD,No,0,"Sí, en uno",Colombia
RM,Empresa,Experiencias creativas,Servicios creativos,Mujer,No,Sí,1-5,Menos de 10.000 USD,Sí,49,"Sí, en más de uno",Latam
RM,Empresa,Servicios creativos,Servicios creativos,Mujer,Sí (especificar cuál),Sí,1-5,Entre 50.000 y 100.000 USD,No,0,"Sí, en uno",perú
RM,Empresa,Servicios creativos,Servicios creativos,Mujer,Sí (especificar cuál),Sí,11-50,Entre 10.000 y 50.000 USD,Sí,23,"Sí, en más de uno","España, Republica Checa, Estados Unidos y Mexico"
RM,Empresa,Contenidos creativos,Servicios creativos,Hombre,No,Sí,1-5,Entre 10.000 y 50.000 USD,No,0,No y no está en los planes actuales,
RM,Profesional independiente,Experiencias creativas,Servicios creativos,Hombre,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,Sí,50,"No, pero está en las prioridades actuales",
RM,Empresa,Servicios creativos,Servicios creativos,Hombre,No,No,1-5,Entre 10.000 y 50.000 USD,Sí,0,"No, pero está en las prioridades actuales",
RM,Empresa,Experiencias creativas,Servicios creativos,Mujer,No,Sí,11-50,Menos de 10.000 USD,No,0,"Sí, en más de uno","India, Suiza, Jordania, Colombia, Europa"
RM,Empresa,Contenidos creativos,Servicios creativos,Hombre,No,Sí,11-50,Más de 100.000 USD,No,0,No y no está en los planes actuales,
RM,Profesional independiente,Contenidos creativos,Servicios creativos,Hombre,No,Sí,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
RM,Empresa,Bienes creativos,Servicios creativos,Mujer,No,No,1-5,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
RM,Empresa,Servicios creativos,Servicios creativos,Hombre,Sí (especificar cuál),Sí,6-10,Más de 100.000 USD,No,0,"No, pero está en las prioridades actuales",
RM,Empresa,Contenidos creativos,Servicios creativos,Hombre,No,Sí,1-5,Menos de 10.000 USD,Sí,10,"No, pero está en las prioridades actuales",
RM,Profesional independiente,Contenidos creativos,Wearables,Hombre,No,Sí,11-50,Entre 50.000 y 100.000 USD,Sí,25,No y no está en los planes actuales,"Alemania, Estados Unidos, Serbia y Nueva Zelandia"
RM,Empresa,,,Mujer,,,,,,,,
RM,Empresa,,,Hombre,,,,,,,,
RM,Empresa,,,Hombre,,,,,,,,
RM,Empresa,,,Hombre,,,,,,,,
RM,Empresa,,,Mujer,,,,,,,,
RM,Empresa,,,Hombre,,,,,,,,
RM,Empresa,,,Mujer,,,,,,,,
RM,Profesional independiente,,,Hombre,,,,,,,,
O'Higgins,Empresa,Bienes creativos,Juegos interactivos,Mujer,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,Sí,76,No y no está en los planes actuales,
O'Higgins,Profesional independiente,Servicios creativos,Ninguna de las anteriores,Mujer,,,1-5,,,,,
O'Higgins,Empresa,,,Hombre,,,,,,,,
Maule,Empresa,Contenidos creativos,Cultura y entretenimiento,Hombre,No,No,1-5,Menos de 10.000 USD,Sí,6,"Sí, en más de uno","Ventana Sur, Pixlatl, Quirino"
Maule,Empresa,Experiencias creativas,Música,Hombre,No,Sí,6-10,Menos de 10.000 USD,Sí,5,"No, pero está en las prioridades actuales",
Biobío,Empresa,Bienes creativos,Computación o programación creativa,Mujer,,,,,,,,
Biobío,Empresa,Contenidos creativos,Computación o programación creativa,Hombre,No,Sí,1-5,Entre 10.000 y 50.000 USD,No,0,"No, pero está en las prioridades actuales",
Biobío,Profesional independiente,Experiencias creativas,Cultura y entretenimiento,Otro (especifique) - prefiero no responder,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,Sí,1,"No, pero está en las prioridades actuales",
Biobío,Empresa,Servicios creativos,Juegos interactivos,Hombre,No,Sí,6-10,Entre 50.000 y 100.000 USD,Sí,10,"Sí, en uno",USA
Biobío,Profesional independiente,Contenidos creativos,Servicios creativos,Hombre,,,0,,,,,
Biobío,Empresa,Bienes creativos,Servicios creativos,Hombre,No,No,1-5,Entre 10.000 y 50.000 USD,No,0,"No, pero está en las prioridades actuales",
Biobío,Empresa,Servicios creativos,Servicios creativos,Mujer,No,No,1-5,Entre 10.000 y 50.000 USD,No,0,No y no está en los planes actuales,
Biobío,Empresa,Bienes creativos,Servicios creativos,Hombre,No,No,1-5,Entre 50.000 y 100.000 USD,No,0,No y no está en los planes actuales,
Biobío,Empresa,Bienes creativos,Servicios creativos,Mujer,No,Sí,11-50,Más de 100.000 USD,Sí,20,"Sí, en más de uno",
Araucanía,Profesional independiente,Contenidos creativos,Contenido para redes sociales,Hombre,No,No,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
Araucanía,Empresa,Experiencias creativas,Cultura y entretenimiento,Hombre,Sí (especificar cuál),Sí,6-10,Entre 10.000 y 50.000 USD,No,0,"Sí, pero aún no se han concretado operaciones internacionales",
Araucanía,Profesional independiente,Contenidos creativos,Cultura y entretenimiento,Hombre,No,Sí,1-5,Menos de 10.000 USD,Sí,1,"No, pero está en las prioridades actuales",
