v362_id,region,cadena_productiva,tipo_empresa,interaccion
125,RM,Servicios creativos,Empresa,Educación
125,RM,Servicios creativos,Empresa,Energía renovable
125,RM,Servicios creativos,Empresa,Inversión social
125,RM,Servicios creativos,Empresa,Minería
125,RM,Servicios creativos,Empresa,Retail
125,RM,Servicios creativos,Empresa,Salud
127,RM,Experiencias creativas,Empresa,Ciencia y tecnología
127,RM,Experiencias creativas,Empresa,Educación
127,RM,Experiencias creativas,Empresa,Inversión social
128,RM,Contenidos creativos,Empresa,Comunicaciones
128,RM,Contenidos creativos,Empresa,Educación
128,RM,Contenidos creativos,Empresa,Inversión social
128,RM,Contenidos creativos,Empresa,Minería
128,RM,Contenidos creativos,Empresa,Transporte
128,RM,Contenidos creativos,Empresa,Turismo
130,RM,Contenidos creativos,Profesional independiente,Ciencia y tecnología
130,RM,Contenidos creativos,Profesional independiente,Comunicaciones
130,RM,Contenidos creativos,Profesional independiente,Educación
130,RM,Contenidos creativos,Profesional independiente,Turismo
132,RM,Bienes creativos,Empresa,Ciencia y tecnología
132,RM,Bienes creativos,Empresa,Educación
132,RM,Bienes creativos,Empresa,Innovación
132,RM,Bienes creativos,Empresa,Retail
133,RM,Servicios creativos,Empresa,Ciencia y tecnología
133,RM,Servicios creativos,Empresa,Comunicaciones
133,RM,Servicios creativos,Empresa,Construcción y desarrollo urbano
133,RM,Servicios creativos,Empresa,Energía no renovable
133,RM,Servicios creativos,Empresa,Energía renovable
133,RM,Servicios creativos,Empresa,Innovación
133,RM,Servicios creativos,Empresa,Minería
133,RM,Servicios creativos,Empresa,Retail
133,RM,Servicios creativos,Empresa,Salud
133,RM,Servicios creativos,Empresa,Manufactureros
136,RM,Contenidos creativos,Empresa,Comunicaciones
136,RM,Contenidos creativos,Empresa,Educación
136,RM,Contenidos creativos,Empresa,Innovación
136,RM,Contenidos creativos,Empresa,Medioambiente y desastres naturales
136,RM,Contenidos creativos,Empresa,Retail
139,RM,Contenidos creativos,Profesional independiente,Ciencia y tecnología
139,RM,Contenidos creativos,Profesional independiente,Comunicaciones
139,RM,Contenidos creativos,Profesional independiente,Construcción y desarrollo urbano
139,RM,Contenidos creativos,Profesional independiente,Educación
139,RM,Contenidos creativos,Profesional independiente,Inversión social
139,RM,Contenidos creativos,Profesional independiente,Salud
67,O'Higgins,Bienes creativos,Empresa,Innovación
67,O'Higgins,Bienes creativos,Empresa,Salud
43,Maule,Contenidos creativos,Empresa,consumo masivo
70,Maule,Experiencias creativas,Empresa,Comunicaciones
70,Maule,Experiencias creativas,Empresa,Educación
70,Maule,Experiencias creativas,Empresa,Innovación
70,Maule,Experiencias creativas,Empresa,Turismo
6,Biobío,Contenidos creativos,Empresa,Agro-Tech
6,Biobío,Contenidos creativos,Empresa,Educación
6,Biobío,Contenidos creativos,Empresa,Minería
6,Biobío,Contenidos creativos,Empresa,Salud
6,Biobío,Contenidos creativos,Empresa,Forestal
41,Biobío,Experiencias creativas,Profesional independiente,Ciencia y tecnología
41,Biobío,Experiencias creativas,Profesional independiente,Comunicaciones
41,Biobío,Experiencias creativas,Profesional independiente,Educación
41,Biobío,Experiencias creativas,Profesional independiente,Innovación
41,Biobío,Experiencias creativas,Profesional independiente,Medioambiente y desastres naturales
61,Biobío,Servicios creativos,Empresa,Ciencia y tecnología
61,Biobío,Servicios creativos,Empresa,Innovación
111,Biobío,Bienes creativos,Empresa,Construcción y desarrollo urbano
111,Biobío,Bienes creativos,Empresa,Innovación
115,Biobío,Servicios creativos,Empresa,Agro-Tech
115,Biobío,Servicios creativos,Empresa,Comunicaciones
115,Biobío,Servicios creativos,Empresa,Energía renovable
115,Biobío,Servicios creativos,Empresa,Innovación
115,Biobío,Servicios creativos,Empresa,Inversión social
115,Biobío,Servicios creativos,Empresa,Turismo
115,Biobío,Servicios creativos,Empresa,Patrimonio
118,Biobío,Bienes creativos,Empresa,Agro-Tech
118,Biobío,Bienes creativos,Empresa,Ciencia y tecnología
118,Biobío,Bienes creativos,Empresa,Construcción y desarrollo urbano
118,Biobío,Bienes creativos,Empresa,Educación
118,Biobío,Bienes creativos,Empresa,Retail
118,Biobío,Bienes creativos,Empresa,Salud
118,Biobío,Bienes creativos,Empresa,Transporte
118,Biobío,Bienes creativos,Empresa,Turismo
137,Biobío,Bienes creativos,Empresa,Ciencia y tecnología
137,Biobío,Bienes creativos,Empresa,Comunicaciones
137,Biobío,Bienes creativos,Empresa,Educación
27,Araucanía,Contenidos creativos,Profesional independiente,Ciencia y tecnología
27,Araucanía,Contenidos creativos,Profesional independiente,Educación
37,Araucanía,Experiencias creativas,Empresa,Ciencia y tecnología
37,Araucanía,Experiencias creativas,Empresa,Comunicaciones
37,Araucanía,Experiencias creativas,Empresa,Educación
37,Araucanía,Experiencias creativas,Empresa,Innovación
37,Araucanía,Experiencias creativas,Empresa,Medioambiente y desastres naturales
37,Araucanía,Experiencias creativas,Empresa,Salud
37,Araucanía,Experiencias creativas,Empresa,Transporte
37,Araucanía,Experiencias creativas,Empresa,Turismo
40,Araucanía,Contenidos creativos,Profesional independiente,Ciencia y tecnología
40,Araucanía,Contenidos creativos,Profesional independiente,Comunicaciones
40,Araucanía,Contenidos creativos,Profesional independiente,Educación
40,Araucanía,Contenidos creativos,Profesional independiente,Innovación
40,Araucanía,Contenidos creativos,Profesional independiente,Turismo
44,Araucanía,Contenidos creativos,Profesional independiente,Construcción y desarrollo urbano
44,Araucanía,Contenidos creativos,Profesional independiente,Innovación
66,Araucanía,Bienes creativos,Empresa,Ciencia y tecnología
66,Araucanía,Bienes creativos,Empresa,Educación
66,Araucanía,Bienes creativos,Empresa,Energía renovable
66,Araucanía,Bienes creativos,Empresa,Innovación
66,Araucanía,Bienes creativos,Empresa,Medioambiente y desastres naturales
66,Araucanía,Bienes creativos,Empresa,Turismo
81,Araucanía,Bienes creativos,Profesional independiente,Ciencia y tecnología
81,Araucanía,Bienes creativos,Profesional independiente,Educación
81,Araucanía,Bienes creativos,Profesional independiente,Innovación
81,Araucanía,Bienes creativos,Profesional independiente,Retail
116,Araucanía,Servicios creativos,Profesional independiente,Comunicaciones
116,Araucanía,Servicios creativos,Profesional independiente,Educación
116,Araucanía,Servicios creativos,Profesional independiente,Innovación
121,Araucanía,Experiencias creativas,Profesional independiente,Ciencia y tecnología
121,Araucanía,Experiencias creativas,Profesional independiente,Comunicaciones
39,Los Ríos,Experiencias creativas,Empresa,Retail
39,Los Ríos,Experiencias creativas,Empresa,Municipalidades
75,Los Ríos,Bienes creativos,Empresa,Construcción y desarrollo urbano
75,Los Ríos,Bienes creativos,Empresa,Energía renovable
75,Los Ríos,Bienes creativos,Empresa,Innovación
75,Los Ríos,Bienes creativos,Empresa,Turismo
82,Los Ríos,Bienes creativos,Empresa,Construcción y desarrollo urbano
82,Los Ríos,Bienes creativos,Empresa,Educación
82,Los Ríos,Bienes creativos,Empresa,Innovación
82,Los Ríos,Bienes creativos,Empresa,Medioambiente y desastres naturales
82,Los Ríos,Bienes creativos,Empresa,Turismo
134,Los Lagos,Experiencias creativas,Empresa,Ciencia y tecnología
134,Los Lagos,Experiencias creativas,Empresa,Innovación
4,Aysén,Bienes creativos,Empresa,Ciencia y tecnología
4,Aysén,Bienes creativos,Empresa,Construcción y desarrollo urbano
4,Aysén,Bienes creativos,Empresa,Educación
4,Aysén,Bienes creativos,Empresa,Retail
4,Aysén,Bienes creativos,Empresa,Turismo
51,Aysén,Bienes creativos,Empresa,Agro-Tech
51,Aysén,Bienes creativos,Empresa,Construcción y desarrollo urbano
51,Aysén,Bienes creativos,Empresa,Educación
51,Aysén,Bienes creativos,Empresa,Retail
51,Aysén,Bienes creativos,Empresa,Turismo
95,Aysén,Servicios creativos,Empresa,Ciencia y tecnología
95,Aysén,Servicios creativos,Empresa,Construcción y desarrollo urbano
95,Aysén,Servicios creativos,Empresa,Educación
95,Aysén,Servicios creativos,Empresa,Innovación
95,Aysén,Servicios creativos,Empresa,Arquitectura y Construcción; Odontología.
123,Aysén,Bienes creativos,Empresa,Ciencia y tecnología
123,Aysén,Bienes creativos,Empresa,Construcción y desarrollo urbano
123,Aysén,Bienes creativos,Empresa,Innovación
123,Aysén,Bienes creativos,Empresa,Retail
123,Aysén,Bienes creativos,Empresa,Turismo
123,Aysén,Bienes creativos,Empresa,Cultura y Patrimonio
10,Magallanes,Contenidos creativos,Empresa,Salud
10,Magallanes,Contenidos creativos,Empresa,"Salones de Belleza, Certificaciones de Balsas Salvavidas"
59,Magallanes,Servicios creativos,Empresa,Energía renovable
59,Magallanes,Servicios creativos,Empresa,Innovación
59,Magallanes,Servicios creativos,Empresa,Inversión social
79,Magallanes,Bienes creativos,Empresa,Medioambiente y desastres naturales
91,Magallanes,Bienes creativos,Empresa,Ciencia y tecnología
91,Magallanes,Bienes creativos,Empresa,Comunicaciones
91,Magallanes,Bienes creativos,Empresa,Educación
91,Magallanes,Bienes creativos,Empresa,Energía renovable
91,Magallanes,Bienes creativos,Empresa,Inversión social
91,Magallanes,Bienes creativos,Empresa,Medioambiente y desastres naturales
91,Magallanes,Bienes creativos,Empresa,Turismo
